track_uri,album_name,album_uri,artist_name,artist_uri,duration_ms,pos,track_name,inside_playlists
spotify:track:4pLwZjInHj3SimIyN9SnOz,Dangerous Woman,spotify:album:4lVR2fg3DAUQpGVJ6DciHW,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,226160,0,Side To Side,[584466 290613 339107 ... 932309 757216 867665]
spotify:track:37f4ITSlgPX81ad2EvmVQr,Wildfire,spotify:album:0mFDIOqypzHp6Xd0el1hoT,Rachel Platten,spotify:artist:3QLIkT4rD2FMusaqmkepbq,204013,1,Fight Song,[584466 290613 540271 ... 535890 217688  26462]
spotify:track:6i0V12jOa3mr6uu4WYhUBr,Heathens,spotify:album:3J8W9AOjQhnBLCX33m3atT,Twenty One Pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx,195920,2,Heathens,[584466 290613 339107 ... 349806 168239 932309]
spotify:track:2DpCdPMg1BADE4HDnxt3Rd,"Sit Still, Look Pretty",spotify:album:2cE2eOy7alOZHpuelJEV8Q,Daya,spotify:artist:6Dd3NScHWwnW6obMFbl1BH,202226,3,"Sit Still, Look Pretty",[584466 414677 809633 ...   6555 349244 395752]
spotify:track:6Knv6wdA0luoMUuuoYi2i1,MY HOUSE,spotify:album:5lkNnHVlnCCCV304t89wOH,Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY,192190,4,My House,[584466 290613 968716 ... 257996 349976   6463]
spotify:track:4tCtwWceOPWzenK2HAIJSb,7/27,spotify:album:0pF0oyuPNdOObniB1Ng0kW,Fifth Harmony,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,214480,5,Work from Home,[584466 290613 923257 ... 168122 757216   8062]
spotify:track:30lgD1UuHczwlxa7NZFeSQ,Mountains Beaches Cities,spotify:album:1nInmRb5yL0VbKQ4XNJbl2,Moon Taxi,spotify:artist:5DK8eK7fjvRsziXzyr3sFA,208080,6,Morocco,"[584466 396717 740634 646153 994926 819229  33413 136022 819886 655245
 118612 317568 964045 852276 565227 845317 277722 912608 950601 646201
   8446 985454 122101 684087 512041 763727 221471 788931 928068 410989
 168656 194062 625994  83827 866655 484746 810537 181694 295813 965181
 999604 972240 317686 737151 322959 499263 442625 413285 793264 226489
 706982 335490 773027 773952 562464 106286 179893 572435 106845 253513
    722 233453 709777 605542 516296 177634 219712 925626 486352 396528
 487806 930258 895628 888720 624493 787703 810865 615257 114641 357610
 483403 862352 848428 357068 271808 991887 367490 990335 822643 895454
 577780 399052  35764  19414  60072 838010 804220 516621 759943 929588
 767022 929342 207599  82599 760508 349007 450082 490899 578693 395442
 932281 811870 276597 467752 870859 656938 503519 314467 310252 291578
 125006 371629 332518 453477 690311 493118 883920 777068 269931 354891
   6444  13305 164128 116125 858465 887274 753802 974612 282452 650848
  77338 449559 774749 198422 977612 140081 917093 486737 432501 823074
 458986 286753 603504 180411 291893 433874 255506 956636 667494 785444
 618869  73130  74440 683342 368304 483066 789448 407800 730443 570036
 812800 260361 422299 604348  46103 419324 779771 681650 674007 392489
 661351 884947 568965 352872 792982 532137 528657 795494 897792  89338
 811214 815676 802939 745086 323721  77424 224925  29302 686975 730603
 285401 473499 148150 305750 803159 544273 349778 643098 420126 141465
 832144   3509 273965 407315   5610 757578 217008 832474 100066 750392
 473562 536298 667632 582612 332703  80457 931145 576982 895569 704232
 803655 119751 682420 967137 348670 394830 522464 514946 241650 176428
 582300 373594 380370 364318 630996 849016 399587  13114  13114 409227
 760747 712603   4301 138160 652662 325687 808882 733843 388411 733463
 166920 638313 581516 757584 485957 102523 242746 365539 751321 317233
 272666    630 603818 439181 865856 823866 763093  29894 850890 368741
 438598 810624 810469 856604 805263 794339 685585 252649 645475 645822
  97089 356064 499718 744544 702318 969104 394861 595133 487521 410404
 110995 942050 864552 315645 829100 459241 585341  84877 866281  24875
 903577 339770 261003 261132 874691 684671 467845 378169 822578  45290
 443047 912961 623475 912404 208741 168162 429682 750637 475909 839921
 660200 373497 141416 529188 798739 953323 314450  68373 176539 245954
 551023 816672 739640  16556 892734 674706 573149 958589 751973 801524
 128249  40472 708724 354251 242278 742183 824224 709977 572269 158857
 979514 144475 556687 778423 319100 931161 688101 282553 732910 970009
 146865 496602  16821 294312 800355 948091 475524 900656 840519 874533
 244437 869164 727337 670981 223767 743602 824878 119676 161661 161392
 198445 120290 436820 993670 833713 991495   8209 764946 742871 249906
 249659 973522 795479 473935 902576 901196  81322 253875 671101 985875
 793771 706247  16761 393157 205915 699360 521449 521662 592537   7729
 966787 477234 758394 855456 790740 540040 877962  96236 300141 515844
 803865 586145 871056  89069 566877 586595  78654 611393 253868 143215
 384067   5412 306687  98010 484776 484576 321919 622533 651587 919319
 585963   8177 361630 367692 322064 497893 704386 366776   9276   7798
 532887  27839 780904 828374 290135 942492 155707 172085 770605 122039
 516018 853784 324656 970741 760611 929424 888421 902432 170120 924204
 892238  48862 390727 544043 969796 732116 822397 856791 414360  26886
 691394 422083 449672 813623 483867 467538 995598 399313  98540 178221
 109958 615002 964936 832421 932468 968588 282374 735227 290001 603942
 626652 696972 722917 857266 417851   5470 530863 768876 895093  66998
  79632 439019 638232 721672  47408 750322 194561 695649 275745 266825
 782959 775283 728044 947623 271782 836405 615879 621196 272463 734644
 621387 278841 607554 814213 690300 469145 700824 428264 467026 228296
 756548 644210  21012 234929 512366 747554 354818 223989 671333 718786
 739105 957757 706627  97510 194337 612511 350329 166650 494206 520300
 165685 845282 568319 979364  31954 574769 986586 568829 325563 493891
 532578 413957 759343 303432 380861 747553 459590 820838 757710 977389
 193042 935651 411659 494027 460117 882082 366056 171303 157673 314418
 723150 826136 981079 986666 648329 637424 445032 603261 244879  81724
 536861 145055 431808 830487 224269 379235 516055 404872  46393 861415
  20829 517783 490134 572144 431297 968347 167795 820981 529926 810177
 700087 808964 951142 554839 934152 306324 832407 608778 978816 831589
 185336 614465 717861 496597 961315 303622 318294 458074 677340 612904
 532190 495715 189573 655473 816771 197843 786607 118158 449296 712224
 803169 506357 382184 279440 700380 819300 838167 986836 452872 463287
 516870 586654 670598 383464 398479 998874 972056 537667  93221 991049
 470816 150355 344770 614503  65004 509269 444588 675521 316925 693298
 831410 104147 753826 285922 909484 216720 962206 164827  98237 103909
 605351 721174 712184 658907 676525 126237 775439 935793 594474 883423
 734599 724609 630245 836346 720743  31118 189782 307837 479798 714089
 795853  33879 772740 412794 981224 513355 155332 741898 953137  55896
 587071 235334 441222 342261 757500 913739 725777 860695 735257 654638
 834477 163304 179125 907909 241320  97319 626233 356557 574055 869962
  47919 729361 377649 237548 349238 555510 103159 903549 770348 146180
 128832 686888 979445 369308 285540 881119 719345 240899  43346 417965
 240143 990866 873275 787376 352320 789783 244275 178246 788635  74146
 668438 657068   1560 686152 180609 605384 909325  29183 933954 381059
  19628 880499 546221 437605  77762 696879 680570 372833 354566  82885
 937511  61650 761364 941273 402362 876338 812582 510742 366298 450524
 665594 665958 947277 756539 451507 621756 608254 949277 763592 302143
 515920 722857 184640 280952 738137 149011  37031 955309 892773 169005
 129931 568989 607630 965526  35129 551506 272819 476787 591584 897810
 302217 327749 149730 944244 132803 838578 681329 562420 137389  62415
 580053 265708 160812 913107 653170 776592  97072 422674  33440  16218
   9975  12694 622541  45168  57183 542364 999319 182724  65922 866519
 864012 103574 281803 941424  36276  22928 943946 279078  85075 328299
 776673  26581 901275 114705 523254 697882 170251 513793 929808 775069
 120138 250551 955444 312715 497075 921443 703867 104967 815768 915157
 992565 238414 732323 954283 445361 738585 235369 901260 580439 689087
 182187 453090 485686 647500 121033 319733 412142 688295 411245  51535
 764782]"
spotify:track:4EAoAeIwUUvevkPLvhwTpx,Daybreaker,spotify:album:5hqGibvfAVIp9plqmnflCg,Moon Taxi,spotify:artist:5DK8eK7fjvRsziXzyr3sFA,213066,7,Make Your Mind Up,"[584466 740634 427675 646153  33413 981150  76612 564886 215288 786795
  22046 657650 396111 206604 484746 854518 295780 793264 335490 331728
 172054 827564 219712 163578 895628 367490 598551 399052 759924 804220
 831482 767022 349007 490899 276597 690526 116125 292319  77338 917093
 270347 286753 433874 667494 179738 353083 905757  27155  46103 674007
 661351 284101 352872 323721 929395 574342 899552 141465 162121 487848
 180293 669121 608833 514946 422789 117322 409227 481473 200418 865856
 850890 933776 400429  47316 744544 312610 659111 261003 496496   6102
 623475 409212 935086 816248  16556 547092 958589 927969 778746 572269
 158857 979514 931161 282553 642438 796337 900208 824878 161392 119161
 967714 901196 369247  16761 787822 966787 282814 253868 384067   8177
 433211 780904 687533 770605 972387 516018 853784 574683 760611 483156
 544043 781373 519296 109958  71902 628084 877064 335214 497805 722917
  84856  39198 138029  83432 255885 256509 506355 836405 975614 328983
 633474 758229 223758 429209  97510 494206 782596 681748 759343 747553
 411659 214853 228444 637628 637644 966560 429996 379235 379235 404872
  20829  16126 289526 235247 359920 379768 680688 404377  53311 251441
 743707 712224  46513 253632 374784 961809 216720 683278 724609 307837
 852114 513355 942235 342261 757500 589950 833382 564736 907909 499434
 626233 574055 239975 870039 369308  24667 242466 337971 833124 613508
 676541 372833 859198 698316 102626 947277 621756 444085 555198 164332
 132803 956662 265708 205949 752400 165828 941770 267352 443850 542364
 223451 753614 111711 901275 135863 276076 815768  71492 941106 990807
 976577 411245 349714 499737]"
spotify:track:7p3eVrTbD7Bt7ICjZVbLcg,Inside Out,spotify:album:14M5XlaHfn40ytNcPqr7BO,Kat Deluna,spotify:artist:0bOlhT8OcoC1lCpN69NcFP,227533,8,Unstoppable,[584466 528892  32086 713819 742159 755236]
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Closer,spotify:album:0rSLgV8p5FzfnqlEk4GzxE,The Chainsmokers,spotify:artist:69GGBxA162lTqCwzJG5jLp,244960,9,Closer,[584466 290613 339107 ... 257996   8062 692830]
